Tag,Mass,Mass_Difference,ID,Sex,Day,Cage,Block,Social,Pairing,GUD,Harvested,Duration_foraged_per_day,Proportion_foraged,Visits,Visit_mean_duration,Trial,Marked,Cuddled,Start_Date,End_Date,Start_Time,End_Time,Initial_Patch_Mass,Final_Patch_Mass,Total_Harvested,Per_Capita_GUD,Tupperware,Tupperware_beads,Smoothie,Topping,Topping_Mass
0007E71B16,139.3,NA,M1,M,1,1,1,N,MM,102.3,110.9,NA,NA,NA,NA,1,NA,NA,5/15/2023,5/16/2023,12:45,11:00,324.8,213.9,197.7,114.25,27.4,111.6,200.4,G,NA
0007E8DC8E,121.2,NA,M2,M,1,2,1,N,MM,126.2,86.8,1276.308,NA,87,14.67,1,NA,NA,5/15/2023,5/16/2023,12:45,11:00,324.6,237.8,197.7,114.25,27.4,111.6,200.5,G,NA
0007E71B16,134.3,-5,M1,M,2,1,1,Y,MM,175.2,36,2087.398,0.523881505,37,34.6205,1,Y,Y,5/16/2023,5/17/2023,12:00,10:15,327.3,291.3,252,87.6,28.1,116.1,200.7,G,NA
0007E8DC8E,118,-3.2,M2,M,2,2,1,Y,MM,0,216,1897.087,0.476118495,86,18.38,1,N,Y,5/16/2023,5/17/2023,12:00,10:15,339.5,123.5,252,87.6,27.8,126.3,202,G,NA
0007E6FCD3,123.2,NA,F2,F,3,1,1,N,FF,94,113.5,589.26,0.294752765,78,7.555,1,NA,NA,5/17/2023,5/18/2023,11:30,11:48,341.8,228.3,216.3,100.7,38.4,134.3,200.5,G,NA
3D6.15346D6AF8,129.1,NA,F1,F,3,2,1,N,FF,107.4,102.8,1409.907,0.705247235,66,21.362,1,NA,NA,5/17/2023,5/18/2023,11:30,11:48,338.7,235.9,216.3,100.7,37.9,128.5,200.9,G,NA
0007E6FCD3,117.1,-6.1,F2,F,4,1,1,Y,FF,99.5,136.2,810.88,0.412014516,59,14.2465,1,Y,Y,5/18/2023,5/19/2023,12:45,11:15,361.9,225.7,268.5,97.95,38.8,126.2,201.8,G,NA
3D6.15346D6AF8,124.1,-5,F1,F,4,2,1,Y,FF,96.4,132.3,1157.206,0.587985484,58,19.73,1,N,Y,5/18/2023,5/19/2023,12:45,11:15,352.6,220.3,268.5,97.95,38,123.9,200.8,G,NA
0007E6FCD3,123.6,NA,F2,F,5,1,1,N,MF,135.6,105.2,540.817,0.387738583,66,8.194,2,NA,NA,5/22/2023,5/23/2023,12:45,11:15,366.1,260.9,209.7,133.05,38.3,125.3,202.8,G,NA
0007E8DC8E,123.2,NA,M2,M,5,2,1,N,MF,130.5,104.5,853.981,0.612261417,63,13.555,2,NA,NA,5/22/2023,5/23/2023,12:45,11:15,357.5,253,209.7,133.05,37.6,122.5,200.4,G,NA
0007E6FCD3,117.9,-5.7,F2,F,6,1,1,Y,MF,116.6,109.5,488.7,0.484821429,62,7.623,2,Y,Y,5/23/2023,5/24/2023,12:00,10:45,346.4,236.9,244.1,100.8,38.9,120.3,203,G,NA
0007E8DC8E,119.8,-3.4,M2,M,6,2,1,Y,MF,85,134.6,519.3,0.515178571,67,10.2705,2,N,Y,5/23/2023,5/24/2023,12:00,10:45,338.4,203.8,244.1,100.8,38.1,118.8,200,G,NA
0007E71B16,137.8,NA,M1,M,7,1,1,N,MF,91,142.2,334.95,0.548244537,49,6.836,2,NA,NA,5/24/2023,5/25/2023,12:00,11:00,353.8,211.6,245.9,109.95,39.2,120.6,201.5,G,NA
3D6.15346D6AF8,131.5,NA,F1,F,7,2,1,N,MF,128.9,103.7,276,0.451755463,55,5.018,2,NA,NA,5/24/2023,5/25/2023,12:00,11:00,352.9,249.2,245.9,109.95,38.1,120.3,200.4,G,NA
