Block,Day,Patch,ID,Pairing,Social,Duration_foraged_per_patch,Individual_foraging_per_patch,Patch_foraging_per_individual,Assigned_patch,Owned,Duration_mean,Total_Duration_Mean,Sex,Subject,Duration_std_dev,Total_number_of_occurences,Observation_id,Observation_date,Description,Time_budget_start,Time_budget_stop,Time budget duration,Behavior,inter_event_intervals mean (s),inter_event_intervals_std dev,percent_of_total_length
1,1,1,M1,MM,N,NA,NA,NA,1,Y,NA,NA,M,0007E71B16,NA,NA,NA,NA,NA,NA,NA,NA,Foraging,NA,NA,NA
1,1,2,M2,MM,N,1276.308,NA,NA,2,Y,14.67,14.67,M,0007E8DC8E,14.38,87,NA,NA,NA,NA,NA,NA,Foraging,288.97,452.092,1.6
1,2,1,M1,MM,Y,27.25,0.110511801,0.01305453,1,Y,6.812,34.6205,M,0007E71B16,7.613,4,NA,NA,NA,NA,NA,NA,Foraging,1361.375,519.617,0
1,2,1,M2,MM,Y,219.33,0.889488199,0.115614097,2,N,7.833,18.38,M,0007E8DC8E,10.007,28,NA,NA,NA,NA,NA,NA,Foraging,350.856,545.684,0.3
1,2,2,M1,MM,Y,2060.148,0.551150444,0.98694547,1,N,62.429,34.6205,M,0007E71B16,69.923,33,NA,NA,NA,NA,NA,NA,Foraging,484.152,379.748,2.6
1,2,2,M2,MM,Y,1677.757,0.448849556,0.884385903,2,Y,28.927,18.38,M,0007E8DC8E,35.797,58,NA,NA,NA,NA,NA,NA,Foraging,281.165,370.926,2.1
1,3,1,F2,FF,N,589.26,0.294752765,NA,1,Y,7.555,7.555,F,0007E6FCD3,5.168,78,NA,NA,NA,NA,NA,NA,Foraging,286.343,220.68,0.9
1,3,2,F1,FF,N,1409.907,0.705247235,NA,2,Y,21.362,21.362,F,3D6.15346D6AF8,19.7,66,NA,NA,NA,NA,NA,NA,Foraging,450.467,383.994,1.8
1,4,1,F2,FF,Y,629.75,0.308752893,0.776625395,1,Y,13.399,14.2465,F,0007E6FCD3,9.973,47,NA,NA,NA,NA,NA,NA,Foraging,451.97,414.123,0.9
1,4,1,F1,FF,Y,19.5,0.097193839,0.016850932,2,N,19.5,19.73,F,3D6.15346D6AF8,NA,1,NA,NA,NA,NA,NA,NA,Foraging,NA,NA,0
1,4,2,F2,FF,Y,181.13,0.902806161,0.223374605,1,N,15.094,14.2465,F,0007E6FCD3,13.308,12,NA,NA,NA,NA,NA,NA,Foraging,811.613,653.89,0.3
1,4,2,F1,FF,Y,1137.706,0.677801853,0.983149068,2,Y,19.96,19.73,F,3D6.15346D6AF8,18.109,57,NA,NA,NA,NA,NA,NA,Foraging,420.118,256.433,1.6
1,5,1,F2,MF,N,540.817,0.387738583,NA,1,Y,8.194,8.194,F,0007E6FCD3,7.518,66,NA,NA,NA,NA,NA,NA,Foraging,257.877,325.208,0.9
1,5,2,M2,MF,N,853.981,0.612261417,NA,2,Y,13.555,13.555,M,0007E8DC8E,14.114,63,NA,NA,NA,NA,NA,NA,Foraging,409.909,439.38,1.2
1,6,1,F2,MF,Y,331.6,0.279694091,0.678534888,1,Y,8.962,7.623,F,0007E6FCD3,7.888,37,NA,NA,NA,NA,NA,NA,Foraging,510.964,403.984,0.5
1,6,1,M2,MF,Y,241.5,0.605870547,0.465049105,2,N,15.094,10.2705,M,0007E8DC8E,20.402,16,NA,NA,NA,NA,NA,NA,Foraging,484.022,304.358,0.4
1,6,2,F2,MF,Y,157.1,0.394129453,0.321465112,1,N,6.284,7.623,F,0007E6FCD3,4.903,25,CAGE2-DAY6-MERGED,5/15/2024 13:31,,NA,NA,NA,Foraging,79.808,67.32,7.2
1,6,2,M2,MF,Y,277.8,0.453365973,0.534950895,2,Y,5.447,10.2705,M,0007E8DC8E,3.564,51,CAGE2-DAY6-MERGED,5/15/2024 13:31,,NA,NA,NA,Foraging,33.156,41.786,12.8
1,7,1,M1,MF,N,334.95,0.548244537,NA,1,Y,6.836,6.836,M,0007E71B16,3.732,49,CAGE1-DAY7-MERGED,4/25/2024 14:14,,NA,NA,NA,Foraging,8.815,9.241,44.2
1,7,2,F1,MF,N,276,0.451755463,NA,2,Y,5.018,5.018,F,3D6.15346D6AF8,3.245,55,CAGE2-DAY7-MERGED,4/25/2024 14:31,,NA,NA,NA,Foraging,4.395,2.113,53.8
1,8,1,M1,MF,Y,292.332,0.601093076,0.901196737,1,Y,13.288,9.849,M,0007E71B16,7.472,22,CAGE1-DAY8-MERGED,4/25/2024 14:46,,NA,NA,NA,Foraging,15.064,12.481,35.5
1,8,1,F1,MF,Y,194.002,0.398906924,0.95731599,2,N,8.435,5.2985,F,3D6.15346D6AF8,6.605,23,CAGE1-DAY8-MERGED,4/25/2024 14:46,,NA,NA,NA,Foraging,28.594,30.17,23.6
1,8,2,M1,MF,Y,32.05,0.787469287,0.098803263,1,N,6.41,9.849,M,0007E71B16,3.498,5,DAY8-CAGE2-MERGED,4/25/2024 15:05,,NA,NA,NA,Foraging,9.938,6.349,26.4
1,8,2,F1,MF,Y,8.65,0.212530713,0.04268401,2,Y,2.162,5.2985,F,3D6.15346D6AF8,2.409,4,DAY8-CAGE2-MERGED,4/25/2024 15:05,,NA,NA,NA,Foraging,20.133,23.321,7.1
1,9,1,F2,MF,N,409.25,0.493758792,NA,1,Y,5.53,5.53,F,0007E6FCD3,3.25,74,CAGE1-DAY9-MERGED,5/7/2024 16:34,,NA,NA,NA,Foraging,8.259,6.813,40.4
1,9,2,M1,MF,N,419.596,0.506241208,NA,2,Y,9.324,9.324,M,0007E71B16,5.092,45,CAGE2-DAY9-MERGED,5/7/2024 16:47,,NA,NA,NA,Foraging,10.529,8.946,47.5
